选股日期,目标日期,代码,名称,排名,分数,选股价,目标价,涨跌幅%,最大涨幅%,最大涨幅日期,+5%日期,+5%天数,+10%日期,+10%天数,-2%日期,-2%天数,-4%日期,-4%天数,策略,信号类型,研判,状态,行业,行业成交额,行业占比,行业涨跌幅
2025-06-30,2025-08-11,605296,,1,4.7,30.35,32.73,+7.84,+16.34,16,2025-07-04,4,2025-07-22,16,2025-07-15,11,,,b1,trend_start,PASS,win,农业综合,0,0.00,+0.00
2025-06-30,2025-08-11,600323,,2,4.5,23.3,26.3,+12.88,+18.54,19,2025-07-15,11,2025-07-16,12,,,,,b1,trend_start,PASS,win,环境保护,0,0.00,+0.00
2025-06-30,2025-08-11,600468,,3,4.1,7.19,6.66,-7.37,+8.62,2,2025-07-02,2,,,2025-07-14,10,2025-07-15,11,b1,trend_start,PASS,lose,电气设备,0,0.00,+0.00
